mm_Lead__c,mm_Contact__c,mm_Stage__c,mm_Start_Date__c,Lead_Contact_Source__c,CreatedDate
,,Closed,10/2/2024,,2024-10-02T11:05:30.000+0000
,,Closed,10/2/2024,,2024-10-02T11:15:07.000+0000
,,Customer Response,10/2/2024,,2024-10-02T11:24:30.000+0000
,,Customer Response,10/2/2024,,2024-10-02T11:39:38.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T11:52:28.000+0000
,,Open,10/2/2024,,2024-10-02T12:02:35.000+0000
,,Open,10/2/2024,,2024-10-02T12:02:46.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:06:34.000+0000
,,Open,10/2/2024,,2024-10-02T12:08:48.000+0000
,,Open,10/2/2024,,2024-10-02T12:09:38.000+0000
,,Open,10/2/2024,,2024-10-02T12:09:41.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:11:42.000+0000
,,Open,10/2/2024,,2024-10-02T12:13:45.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:14:21.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:17:34.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:18:18.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T12:21:47.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:23:20.000+0000
,,Open,10/2/2024,,2024-10-02T12:26:02.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:28:21.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:28:38.000+0000
,,Escalated,10/2/2024,,2024-10-02T12:29:00.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:30:57.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:32:24.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:32:46.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:32:50.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:34:13.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T12:34:43.000+0000
,,Closed,10/2/2024,,2024-10-02T12:35:05.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:36:21.000+0000
,,Open,10/2/2024,,2024-10-02T12:37:25.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:44:24.000+0000
,,Open,10/2/2024,,2024-10-02T12:45:59.000+0000
,,Closed,10/2/2024,,2024-10-02T12:49:31.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:49:46.000+0000
,,Customer Response,10/2/2024,,2024-10-02T12:50:10.000+0000
,,Evaluation,10/2/2024,,2024-10-02T12:55:10.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T12:56:24.000+0000
,,Completed,10/2/2024,,2024-10-02T12:57:10.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T12:59:58.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:00:27.000+0000
,,In Progress,10/2/2024,,2024-10-02T13:01:41.000+0000
,,Customer Response,10/2/2024,,2024-10-02T13:04:07.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T13:04:33.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:06:16.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T13:06:36.000+0000
,,In Progress,10/2/2024,,2024-10-02T13:11:06.000+0000
,,Closed,10/2/2024,,2024-10-02T13:13:39.000+0000
,,Closed,10/2/2024,,2024-10-02T13:14:01.000+0000
,,Open,10/2/2024,,2024-10-02T13:17:20.000+0000
,,In Progress,10/2/2024,,2024-10-02T13:19:46.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T13:20:56.000+0000
,,Closed,10/2/2024,,2024-10-02T13:22:46.000+0000
,,Customer Response,10/2/2024,,2024-10-02T13:23:37.000+0000
,,Closed,10/2/2024,,2024-10-02T13:23:59.000+0000
,,Closed,10/2/2024,,2024-10-02T13:24:24.000+0000
,,Open,10/2/2024,,2024-10-02T13:27:22.000+0000
,,In Progress,10/2/2024,,2024-10-02T13:29:06.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:29:14.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:31:20.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:31:28.000+0000
,,Open,10/2/2024,,2024-10-02T13:31:47.000+0000
,,Completed,10/2/2024,,2024-10-02T13:32:09.000+0000
,,Open,10/2/2024,,2024-10-02T13:33:18.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:33:46.000+0000
,,Closed,10/2/2024,,2024-10-02T13:33:48.000+0000
00QV500000Acb5dMAB,,Suspect,10/2/2024,Email,2024-10-02T13:38:46.000+0000
,,Suspect,10/2/2024,,2024-10-02T13:42:34.000+0000
,,Evaluation,10/2/2024,,2024-10-02T13:43:16.000+0000
,003V50000067mkrIAA,Qualified,10/2/2024,Sales,2024-10-02T13:46:07.000+0000
,,Completed,10/2/2024,,2024-10-02T13:46:42.000+0000
,,Escalated,10/2/2024,,2024-10-02T13:49:58.000+0000
,,Completed,10/2/2024,,2024-10-02T13:50:21.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T13:51:40.000+0000
,,Completed,10/2/2024,,2024-10-02T13:56:03.000+0000
,,In Progress,10/2/2024,,2024-10-02T13:56:21.000+0000
,,Customer Response,10/2/2024,,2024-10-02T13:57:09.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T13:57:34.000+0000
,003V50000067PgKIAU,Nurture,10/2/2024,Webinar,2024-10-02T13:59:00.000+0000
,003V50000067XphIAE,Nurture,10/2/2024,Sales,2024-10-02T13:59:11.000+0000
,003V50000067ib1IAA,Disqualified,10/2/2024,DiscoverOrg,2024-10-02T14:01:24.000+0000
,003V50000067ib1IAA,Nurture,10/2/2024,DiscoverOrg,2024-10-02T14:02:02.000+0000
,003V50000067kTNIAY,Nurture,10/2/2024,Marketing Research,2024-10-02T14:02:12.000+0000
,003V50000067GoEIAU,Nurture,10/2/2024,Linkedin Sales Navigator,2024-10-02T14:02:14.000+0000
,003V50000067uEpIAI,Nurture,10/2/2024,Zoominfo,2024-10-02T14:03:00.000+0000
,,Open,10/2/2024,,2024-10-02T14:04:39.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:09:08.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:10:30.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:13:11.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T14:17:36.000+0000
,,Scheduled,10/2/2024,,2024-10-02T14:18:59.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:19:15.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:21:06.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T14:25:40.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:29:52.000+0000
,,Open,10/2/2024,,2024-10-02T14:30:47.000+0000
,,Open,10/2/2024,,2024-10-02T14:35:58.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T14:36:32.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:36:40.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:36:50.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:38:58.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:40:09.000+0000
,,Open,10/2/2024,,2024-10-02T14:43:41.000+0000
,003V500000CoDuTIAV,,10/2/2024,webhelp-access-requested,2024-10-02T14:43:44.000+0000
,003V500000CoDuUIAV,,10/2/2024,Event,2024-10-02T14:43:45.000+0000
,003V500000CoDuVIAV,,10/2/2024,Email,2024-10-02T14:43:46.000+0000
,003V500000CoDuWIAV,,10/2/2024,,2024-10-02T14:43:46.000+0000
,,Evaluation,10/2/2024,,2024-10-02T14:52:44.000+0000
,,Escalated,10/2/2024,,2024-10-02T14:58:47.000+0000
,,Customer Response,10/2/2024,,2024-10-02T14:59:41.000+0000
,,Closed,10/2/2024,,2024-10-02T15:02:31.000+0000
,,Pending Customer Verification,10/2/2024,,2024-10-02T15:05:13.000+0000
,,Closed,10/2/2024,,2024-10-02T15:06:14.000+0000
,,Open,10/2/2024,,2024-10-02T15:06:34.000+0000
,,Customer Response,10/2/2024,,2024-10-02T15:10:22.000+0000
,,Evaluation,10/2/2024,,2024-10-02T15:10:24.000+0000
,,Evaluation,10/2/2024,,2024-10-02T15:10:52.000+0000
,,Closed,10/2/2024,,2024-10-02T15:11:46.000+0000
,,Awaiting Customer,10/2/2024,,2024-10-02T15:13:16.000+0000
